ID,标题,Slug,描述,"父分类 ID","Meta Title","Meta Description",order,product_count_product_cat,order_url
15,Products,products,"Browse Gdon Tech's complete EV charging product portfolio. As a leading EV charger manufacturer, we provide comprehensive charging solutions from residential wallboxes to commercial DC fast charging stations. Find the perfect EVSE for your needs.",,"Gdon Tech EV Charging Products | Complete EV Charger Portfolio | Manufacturer","Browse Gdon Tech's complete EV charging product portfolio. As a leading EV charger manufacturer, we provide comprehensive charging solutions from residential wallboxes to commercial DC fast charging stations. Find the perfect EVSE for your needs.",1,21
21,"AC Portable EV Chargers",portable-ev-chargers,"Experience charging freedom with Gdon Tech portable EV chargers. IP65 waterproof, IK09 impact rated designs for charging anywhere - from home to travel. Simply plug into any standard outlet to start charging.",,"Portable EV Charger Manufacturer | Mobile Level 1 & 2 EVSE | Gdon Tech","Experience charging freedom with Gdon Tech portable EV chargers. IP65 waterproof, IK09 impact rated designs for charging anywhere - from home to travel. Simply plug into any standard outlet to start charging.",2,16
22,"AC Wallbox Chargers",ac-wallbox-chargers,"Premium Level 2 wall-mounted EV chargers for residential and commercial applications. IP54 weatherproof rated, smart app control, OCPP compliance, and dynamic load balancing for efficient home and business charging.",,"AC Wall-mounted EV Charger Manufacturer | Level 2 Wallbox | Gdon Tech","Premium Level 2 wall-mounted EV chargers for residential and commercial applications. IP54 weatherproof rated, smart app control, OCPP compliance, and dynamic load balancing for efficient home and business charging.",8,13
23,"DC Fast Charging Stations",dc-fast-charging-stations,"High-power DC fast charging solutions for commercial and public applications. Rapid charging speeds for fleet operations, highway stations, and public charging networks. OCPP compliant with smart power management.",,"Commercial DC Fast Charging Stations | Level 3 EV Charger | Gdon Tech","High-power DC fast charging solutions for commercial and public applications. Rapid charging speeds for fleet operations, highway stations, and public charging networks. OCPP compliant with smart power management.",13,17
24,"EV Charger Control Boards",ev-charger-control-boards,"Reliable EV charger PCBA control board solutions for OEM/ODM applications. TUV, CE, and ETL certified mainboards supporting OCPP, DLB, and multiple connectivity options for your EVSE manufacturing needs.",,"EV Charger PCBA & Control Board OEM/ODM Solutions | EVSE Controller | Gdon Tech","Reliable EV charger PCBA control board solutions for OEM/ODM applications. TUV, CE, and ETL certified mainboards supporting OCPP, DLB, and multiple connectivity options for your EVSE manufacturing needs.",14,9
25,"Gem Series (3.5kW – 22kW)",portable-ev-charger/gem-series,"Flagship portable line with 2.8-inch LCD screen. Complete range from 3.5kW to 22kW. Automotive-grade reliability with premium build quality.",21,"Flagship LCD Portable EV Charger | Premium Portable EVSE | Gdon Tech","Flagship portable line featuring a large 2.8-inch LCD screen. Complete range from 3.5kW to 22kW. Automotive-grade reliability with premium build quality.",3,5
26,"Ticool Series (11kW – 22kW)",portable-ev-charger/ticool-series,"Delivers fast AC charging on the go. Three-phase 11kW and 22kW options with digital displays. Rugged design for demanding users.",21,"High-Power Portable EV Charger | 11kW-22kW EVSE | Gdon Tech","Delivers fast AC charging on the go. Three-phase 11kW and 22kW options with digital displays. Rugged design for demanding users.",6,2
27,"Stellix Series (3.5kW – 22kW)",portable-ev-charger/stellix-series,"Exclusive patented geometric design with universal compatibility (3.5kW-22kW). Distinct look with IP65 protection for premium portable charging.",21,"Patented Design Portable EV Charger | Premium EVSE | Gdon Tech","Exclusive patented geometric design portable charger. Universal compatibility (3.5kW-22kW) with a distinct look and IP65 protection.",5,5
28,"Xaga Series (3.5kW – 7kW)",portable-ev-charger/xaga-series,"Focuses on simplicity and durability. Plug & Play operation with clear LED indicators. Available in 3.5kW and 7kW versions. Cost-effective solution for budget-conscious buyers.",21,"Plug & Play LED Portable Charger | Budget-Friendly EVSE | Gdon Tech","Focuses on simplicity and durability. Plug & Play operation with clear LED indicators. Available in 3.5kW and 7kW versions. Cost-effective solution for budget-conscious buyers.",7,2
29,"Mars Series (3.5kW – 7kW)",portable-ev-charger/mars-series,"Ultra-compact 3.5kW & 7kW portable chargers with OLED screens. Lightweight, IP65 waterproof design for charging anywhere.",21,"Compact OLED Portable EV Charger | Level 1 & 2 EVSE | Gdon Tech","Ultra-compact 3.5kW & 7kW portable chargers with OLED screens. Lightweight, IP65 waterproof design for charging anywhere.",4,2
